"Stu_ID","Gender","Sch_Type","Math_Overall","Math_Reasoning","Math_Relation","Math_Quantity"
84002502,1,3,342.235,268.25,199.363,203.449
84004336,1,3,581.114,648.506,559.534,586.32
84001560,2,3,541.689,531.561,534.861,492.392
84002616,1,3,461.722,405.344,348.191,376.92
84003837,1,3,468.307,453.359,469.874,515.592
84005224,1,3,423.534,400.626,415.296,459.278
84000675,1,3,422.737,477.822,408.964,399.792
84002233,2,3,399.375,374.372,415.573,380.756
84002688,1,3,570.806,590.842,567.572,559.851
84001135,2,3,403.13,496.804,401.469,382.443
84001782,2,3,561.464,544.248,465.181,514.603
84002254,2,3,463.12,496.422,462.251,491.341
84002349,2,3,446.054,399.902,463.921,490.166
84003116,2,3,463.457,371.656,449.544,441.844
84003979,1,3,352.366,355.985,413.551,356.153
84004373,2,3,686.874,694.584,689.521,664.983
84003181,2,3,435.639,398.514,422.234,359.113
84001970,1,3,407.704,411.588,447.625,383.589
84004859,1,3,375.655,350.845,397.364,354.544
84006253,2,3,522.092,493.174,488.678,509.559
84007793,2,3,318.281,347.354,307.746,331.489
84005053,1,3,493.633,446.655,421.822,439.941
84007303,1,3,461.524,421.545,453.27,479.807
84005010,1,3,650.689,654.118,705.36,674.512
84006385,2,3,566.266,530.551,589.635,552.043
84006726,2,3,630.425,600.208,620.709,610.588
84007483,1,3,301.949,391.445,358.271,344.292
84004572,1,3,467.065,355.064,436.524,437.237
84001384,2,3,545.92,486.641,524.205,521.652
84002625,2,3,668.865,611.038,687.714,683.543
84000436,2,3,455.745,430.787,452.36,394.57
84002324,1,3,359.429,427.907,408.275,371.186
84003668,2,3,543.793,566.621,535.682,589.765
84000504,2,3,510.655,461.2,519.952,509.919
84000905,1,3,491.057,456.671,521.791,531.693
84001260,2,3,365.384,270.223,329.915,320.677
84006825,1,3,472.999,349.305,511.601,449.806
84002419,2,3,552.804,526.707,584.949,587.757
84007826,2,3,335.678,426.402,393.969,370.8
84003128,2,3,449.055,474.687,502.529,510.661
84000063,2,3,493.183,492.491,489.288,478.576
84006007,2,3,515.124,483.286,434.513,464.731
84002861,2,3,515.233,507.073,442.577,499.788
84004760,2,3,430.708,426.381,518.624,465.152
84006222,2,3,580.329,610.815,596.277,601.689
84002504,2,3,426.589,394.527,357.02,405.459
84004228,2,3,416.611,497.218,477.926,460.727
84005495,1,3,334.512,253.016,369.415,324.621
84003571,2,3,553.61,531.412,469.371,463.49
84002951,1,3,486.748,511.483,536.75,528.659
84000669,2,3,449.255,451.848,479.145,560.074
84000672,1,3,305.62,416.441,293.513,295.21
84003886,1,3,262.65,297.037,310.135,200.197
84005597,2,3,381.95,449.094,410.483,448.749
84006555,1,3,435.405,470.042,415.192,425.814
84006295,1,3,392.977,368.362,375.875,366.91
84008073,2,3,292.797,306.202,314.118,265.463
84004043,2,3,593.4,555.223,622.066,560.732
84006753,1,3,412.679,375.355,419.774,389.537
84007671,1,3,563.271,526.287,536.522,562.162
84000147,2,3,513.4,482.522,554.364,525.459
84007900,2,3,422.339,432.581,403.684,448.681
84001266,1,3,519.811,551.28,493.105,522.653
84000716,2,3,486.043,450.833,466.246,446.252
84001776,1,3,417.081,470.706,414.838,402.424
84003685,2,3,488.845,490.899,484.208,507.755
84004308,2,3,298.009,321.721,312.836,356.084
84000081,1,3,396.893,422.706,414.622,348.63
84002990,1,3,368.666,417.161,437.442,355.754
84007762,1,3,415.889,396.974,388.969,378.462
84004633,2,3,450.466,498.255,476.604,476.908
84005531,1,3,560.328,517.926,536.256,504.473
84005008,1,3,354.534,369.117,407.839,387.299
84000416,2,3,536.449,422.543,492.138,514.172
84007538,2,3,456.067,435.493,461.022,387.217
84001208,2,3,399.226,386.416,385.628,359.207
84002969,1,3,479.365,433.371,433.031,475.448
84005823,1,3,380.841,341.669,398.352,341.043
84007449,2,3,607.707,561.481,580.425,582.317
84002787,2,3,445.428,449.92,458.109,455.288
84005088,2,3,506.893,456.384,541.524,504.251
84008018,1,NA,525.852,485.256,510.273,518.632
84004591,2,3,384.623,295.324,446.388,445.14
84005460,1,3,521.959,491.308,542.328,511.362
84003714,1,3,314.011,341.865,304.895,312.511
84001189,2,3,480.058,431.657,455.182,458.629
84006328,1,3,589.187,502.131,561.47,566.368
84008084,2,3,416.438,426.573,382.924,356.798
84001223,2,3,452.039,431.745,461.337,454.052
84000034,1,3,575.253,477.896,580.481,566.052
84003307,1,3,527.163,563.032,546.455,544.385
84003757,1,3,474.807,530.263,432.537,489.253
84005294,1,3,441.081,505.061,489.38,523.9
84001262,1,3,457.502,470.044,419.069,433.632
84005205,2,3,462.638,501.015,502.137,449.985
84000087,2,3,368.002,383.246,352.292,366.566
84005996,2,3,462.943,468.423,499.356,527.581
84001176,1,3,328.675,443.949,425.314,385.906
84003717,1,3,280.166,298.887,260.577,256.367
84004169,1,3,376.3,321.788,378.125,341.626
84004613,1,3,472.439,366.781,465.166,453.525
84006635,1,3,454.859,526.653,438.203,486.88
84006108,1,3,435.47,515.075,551.539,539.485
84001932,1,3,633.396,546.11,587.08,591.961
84003764,2,3,553.638,501.604,578.124,623.035
84001814,2,3,323.166,366.206,360.192,390.933
84006270,2,3,435.713,339.643,456.414,422.297
84002577,1,3,653.66,616.936,616.274,673.904
84004947,2,3,504.94,563.063,607.048,547.931
84000557,1,3,583.257,567.507,541.305,561.26
84005633,2,3,483.988,461.417,473.04,531.43
84002170,1,3,424.283,465.985,435.91,504.116
84002802,1,3,350.31,365.191,380.976,336.226
84001292,1,3,416.136,402.089,403.035,379.556
84003139,1,3,414.999,435.021,400.848,431.062
84003145,2,3,577.03,551.902,689.024,682.971
84005362,1,3,321.655,376.451,367.512,392.581
84005627,2,3,381.68,474.925,362.627,409.486
84006640,2,3,385.115,465.569,451.43,433.265
84005482,1,3,439.435,456.6,514.983,470.104
84003821,1,3,434.036,410.985,461.135,468.412
84003922,2,3,384.07,373.446,416.309,383.469
84000789,1,3,655.54,651.512,680.494,658.087
84005590,1,3,440.377,460.031,468.073,471.116
84000262,2,1,484.144,543.979,433.885,476.908
84000571,2,1,406.815,423.233,375.69,344.636
84002019,2,1,547.599,593.976,581.971,611.788
84003371,2,1,477.063,457.307,535.214,492.385
84005456,2,1,481.556,487.227,489.214,550.896
84007901,1,1,644.897,564.394,605.383,600.67
84000099,1,3,414.876,480.437,478.15,490.104
84008096,2,3,493.62,562.808,428.334,479.852
84005386,2,3,583.519,583.751,489.182,519.682
84006798,1,3,462.444,468.004,464.539,449.991
84007776,1,3,621.012,678.251,661.398,640.759
84002755,2,3,583.685,508.654,577.687,578.08
84004863,1,3,357.128,331.009,377.976,396.597
84006384,2,3,321.743,381.267,326.832,302.678
84007287,1,3,354.066,359.002,335.84,373.24
84004729,2,3,457.258,433.477,423.743,379.763
84004851,1,3,502.166,454.937,499.544,484.2
84001377,2,3,446.617,428.656,380.563,401.551
84002316,1,3,524.85,500.881,517.802,560.603
84005912,2,3,554.437,590.067,580.33,545.961
84000595,1,3,598.48,557.206,599.801,616.444
