"student_id","classroom_id","condition","pretest_score","posttest_score"
"S001","C01","Treatment",56.9,57.8
"S002","C01","Treatment",58,64.5
"S003","C01","Treatment",74.7,76.2
"S004","C01","Treatment",74.1,73.1
"S005","C01","Treatment",74.3,76.3
"S006","C01","Treatment",62.3,67.7
"S007","C01","Treatment",55.9,61.9
"S008","C01","Treatment",44.3,51.7
"S009","C01","Treatment",66.1,75.7
"S010","C01","Treatment",74.4,75
"S011","C01","Treatment",85.1,90.6
"S012","C01","Treatment",57.5,61.5
"S013","C01","Treatment",63,71.3
"S014","C01","Treatment",75.7,72.4
"S015","C01","Treatment",66.5,73.1
"S016","C01","Treatment",71.7,79.1
"S017","C01","Treatment",68.4,61.4
"S018","C01","Treatment",70.9,66.8
"S019","C01","Treatment",73.5,79.3
"S020","C01","Treatment",60.3,61.5
"S021","C02","Control",79.6,91.3
"S022","C02","Control",68.9,69
"S023","C02","Control",70.5,74.2
"S024","C02","Control",68.4,63.8
"S025","C02","Control",65,79.1
"S026","C02","Control",54.6,60.4
"S027","C02","Control",68.1,65.4
"S028","C02","Control",83.9,66.2
"S029","C02","Control",68.7,77.2
"S030","C02","Control",68.2,68.4
"S031","C02","Control",73.7,71.3
"S032","C02","Control",62.8,63.2
"S033","C02","Control",61.6,50.8
"S034","C02","Control",76.5,82.3
"S035","C02","Control",80,73.6
"S036","C02","Control",74.1,69.8
"S037","C02","Control",62.7,61.2
"S038","C02","Control",74.4,65.5
"S039","C02","Control",78.6,80.4
"S040","C02","Control",64.8,60
"S041","C03","Control",36.9,43.7
"S042","C03","Control",71.1,66.2
"S043","C03","Control",81.7,82.5
"S044","C03","Control",68,71.3
"S045","C03","Control",65.9,81.9
"S046","C03","Control",59.5,72.1
"S047","C03","Control",78.4,78.9
"S048","C03","Control",78.6,70
"S049","C03","Control",90.1,92.2
"S050","C03","Control",85.6,86
"S051","C03","Control",67.9,60.8
"S052","C03","Control",72.1,73
"S053","C03","Control",68.6,57
"S054","C03","Control",82.6,78.1
"S055","C03","Control",72.7,80
"S056","C03","Control",68.6,71.9
"S057","C03","Control",43.6,46.7
"S058","C03","Control",67.3,61.7
"S059","C03","Control",85.9,70.6
"S060","C03","Control",65.5,62.4
"S061","C04","Control",60.8,52.7
"S062","C04","Control",50.4,44.6
"S063","C04","Control",57,63.9
"S064","C04","Control",56.7,55.3
"S065","C04","Control",44.5,36.8
"S066","C04","Control",62.2,64.1
"S067","C04","Control",60.5,52.6
"S068","C04","Control",75.7,63.9
"S069","C04","Control",49.8,50.9
"S070","C04","Control",69.6,63.3
"S071","C04","Control",60,53.5
"S072","C04","Control",64.3,62.5
"S073","C04","Control",66.8,58.9
"S074","C04","Control",73.4,58.7
"S075","C04","Control",64.4,75.1
"S076","C04","Control",55.1,59.3
"S077","C04","Control",49.9,52.7
"S078","C04","Control",57.5,60.4
"S079","C04","Control",60,67.5
"S080","C04","Control",57.3,56.6
"S081","C05","Control",62.5,76.6
"S082","C05","Control",79.2,71.8
"S083","C05","Control",84,72.2
"S084","C05","Control",74,71.1
"S085","C05","Control",84.7,85
"S086","C05","Control",70,74
"S087","C05","Control",67,73.4
"S088","C05","Control",65,73.5
"S089","C05","Control",69.4,67.5
"S090","C05","Control",70,64.1
"S091","C05","Control",79.5,82.7
"S092","C05","Control",58.4,57.6
"S093","C05","Control",69.2,68.2
"S094","C05","Control",62.6,71.1
"S095","C05","Control",73.1,72.8
"S096","C05","Control",51.3,52.9
"S097","C05","Control",62.1,61.3
"S098","C05","Control",55.1,60.8
"S099","C05","Control",47.5,48.1
"S100","C05","Control",76.1,74.3
"S101","C06","Treatment",86.6,93.6
"S102","C06","Treatment",96.2,101.3
"S103","C06","Treatment",64,69.9
"S104","C06","Treatment",74,93.7
"S105","C06","Treatment",80.2,94
"S106","C06","Treatment",76.4,91.6
"S107","C06","Treatment",69.9,92.1
"S108","C06","Treatment",93.3,109.5
"S109","C06","Treatment",71.9,87.6
"S110","C06","Treatment",69.1,76.6
"S111","C06","Treatment",79.1,87.5
"S112","C06","Treatment",93.1,98.2
"S113","C06","Treatment",81.9,87.3
"S114","C06","Treatment",78.3,93.5
"S115","C06","Treatment",80.8,90.7
"S116","C06","Treatment",81.1,86.4
"S117","C06","Treatment",57.8,71.8
"S118","C06","Treatment",78.3,96.2
"S119","C06","Treatment",85.5,85.3
"S120","C06","Treatment",65.9,81.1
"S121","C07","Control",66.9,71.8
"S122","C07","Control",67.1,78.2
"S123","C07","Control",56.8,71
"S124","C07","Control",72.3,69.4
"S125","C07","Control",82.7,87.8
"S126","C07","Control",86.8,88.4
"S127","C07","Control",73.2,66.8
"S128","C07","Control",77.1,72.8
"S129","C07","Control",61.7,72
"S130","C07","Control",88.9,88.8
"S131","C07","Control",73.5,73.3
"S132","C07","Control",61.4,62.9
"S133","C07","Control",70.2,79.5
"S134","C07","Control",72,76.3
"S135","C07","Control",79.5,73.9
"S136","C07","Control",77.9,86.3
"S137","C07","Control",70.9,70
"S138","C07","Control",77.8,85.3
"S139","C07","Control",66.2,54.3
"S140","C07","Control",62,63.6
"S141","C08","Treatment",58.3,66.2
"S142","C08","Treatment",59,69.4
"S143","C08","Treatment",59.3,73.3
"S144","C08","Treatment",72,73.2
"S145","C08","Treatment",75.4,80.6
"S146","C08","Treatment",64.1,67.5
"S147","C08","Treatment",77.1,79
"S148","C08","Treatment",52.8,65.6
"S149","C08","Treatment",83,91.4
"S150","C08","Treatment",56.8,67.3
"S151","C08","Treatment",65.8,66.5
"S152","C08","Treatment",72.5,75
"S153","C08","Treatment",62,70.2
"S154","C08","Treatment",79,78.7
"S155","C08","Treatment",59.5,66
"S156","C08","Treatment",82.6,87.1
"S157","C08","Treatment",88.2,100.7
"S158","C08","Treatment",69,74.1
"S159","C08","Treatment",73.5,73.3
"S160","C08","Treatment",73.7,80.6
"S161","C09","Treatment",64.5,66.5
"S162","C09","Treatment",72.1,74.5
"S163","C09","Treatment",34.4,47
"S164","C09","Treatment",65.9,69.3
"S165","C09","Treatment",71,70.5
"S166","C09","Treatment",92.6,89.2
"S167","C09","Treatment",70.3,68.3
"S168","C09","Treatment",62.5,64.3
"S169","C09","Treatment",66.2,61.5
"S170","C09","Treatment",67,64.6
"S171","C09","Treatment",54.8,56
"S172","C09","Treatment",44.6,51.2
"S173","C09","Treatment",78,71.2
"S174","C09","Treatment",64.8,73.8
"S175","C09","Treatment",46.1,64.2
"S176","C09","Treatment",80.1,84
"S177","C09","Treatment",75.2,84.5
"S178","C09","Treatment",62.1,61
"S179","C09","Treatment",56.6,66
"S180","C09","Treatment",65.3,69.8
"S181","C10","Control",63.4,57
"S182","C10","Control",61,68.9
"S183","C10","Control",74.6,56.4
"S184","C10","Control",72.6,63.6
"S185","C10","Control",74,71.2
"S186","C10","Control",58,62.5
"S187","C10","Control",55.9,63.4
"S188","C10","Control",70.5,62.7
"S189","C10","Control",53.5,44.8
"S190","C10","Control",50.4,41.4
"S191","C10","Control",49.8,51.8
"S192","C10","Control",55.8,43.1
"S193","C10","Control",64.1,57
"S194","C10","Control",65.7,62.4
"S195","C10","Control",66,54.6
"S196","C10","Control",62.8,63.2
"S197","C10","Control",59.2,40.6
"S198","C10","Control",72.8,80.3
"S199","C10","Control",63.7,51.9
"S200","C10","Control",65,69
"S201","C11","Treatment",66,63.3
"S202","C11","Treatment",64,63.6
"S203","C11","Treatment",68.9,67.9
"S204","C11","Treatment",56.5,43.8
"S205","C11","Treatment",52.6,60.8
"S206","C11","Treatment",63.2,62.2
"S207","C11","Treatment",66.1,68.5
"S208","C11","Treatment",72.9,72
"S209","C11","Treatment",45.2,50.6
"S210","C11","Treatment",47.4,52.6
"S211","C11","Treatment",72.9,78.2
"S212","C11","Treatment",52.2,49.9
"S213","C11","Treatment",63.9,64.8
"S214","C11","Treatment",63.1,64.6
"S215","C11","Treatment",87.2,83.5
"S216","C11","Treatment",62.5,61
"S217","C11","Treatment",54.3,61.2
"S218","C11","Treatment",69,77.9
"S219","C11","Treatment",67.9,67.1
"S220","C11","Treatment",53.9,52.7
"S221","C12","Treatment",77.8,83.2
"S222","C12","Treatment",81.4,80.7
"S223","C12","Treatment",58.3,73.6
"S224","C12","Treatment",89.6,100.2
"S225","C12","Treatment",67.1,72.2
"S226","C12","Treatment",59.4,64.5
"S227","C12","Treatment",66.3,78.1
"S228","C12","Treatment",58.1,74.5
"S229","C12","Treatment",66,74.1
"S230","C12","Treatment",83.2,86.2
"S231","C12","Treatment",75.4,81.5
"S232","C12","Treatment",80,75.5
"S233","C12","Treatment",62.5,71.4
